repo_slug,repo_url,num_forks,num_watchers,num_stars,primary_language,num_PRs,num_PRs_human,num_PRs_agent,num_PRs_bot,num_months_with_agentic_PRs,filter_passed,filter_reason,min_monthly_commits_observed,branch_checked,commits_2025-12,commits_2026-01,commits_2026-02,commits_2026-03,commits_2026-04,commits_2026-05
ublue-os/bluefin,https://github.com/ublue-os/bluefin,241,34,2090,Shell,2834,1932,39,863,6,1,passed,56,auto,114,118,56,95,104,89
GDevelopApp/GDevelop-documentation,https://github.com/GDevelopApp/GDevelop-documentation,424,4,119,HTML,464,323,18,123,5,1,passed,11,auto,11,14,88,59,44,18
enviodev/docs,https://github.com/enviodev/docs,12,5,14,JavaScript,676,616,19,41,4,1,passed,12,auto,21,15,12,40,43,32
feldera/feldera,https://github.com/feldera/feldera,81,11,1678,Rust,3381,3295,11,75,3,1,passed,156,auto,156,207,188,272,262,223
jxxghp/MoviePilot,https://github.com/jxxghp/MoviePilot,1207,43,9850,Python,1261,1197,64,0,8,1,passed,83,auto,83,213,90,215,232,315
nidor1998/s3sync,https://github.com/nidor1998/s3sync,5,0,56,Rust,143,105,11,27,4,1,passed,16,auto,16,16,28,48,38,19
DefangLabs/defang,https://github.com/DefangLabs/defang,20,3,144,Go,1286,1177,22,87,6,1,passed,39,auto,55,111,53,42,52,39
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,3325,148,24874,TypeScript,2307,2200,13,94,4,1,passed,98,auto,98,119,145,418,3749,1300
web-infra-dev/rspress,https://github.com/web-infra-dev/rspress,198,19,1986,TypeScript,2441,2006,61,374,6,1,passed,48,auto,112,102,64,84,48,64
tursodatabase/turso,https://github.com/tursodatabase/turso,600,65,14669,Rust,3803,3753,43,7,3,1,passed,458,auto,1082,1673,1501,876,787,458
kaito-project/kaito,https://github.com/kaito-project/kaito,145,9,808,Go,1518,1186,13,319,5,1,passed,22,auto,50,22,40,42,66,34
wso2/docs-mi,https://github.com/wso2/docs-mi,74,97,11,CSS,1503,1411,67,25,5,1,passed,22,auto,32,22,134,167,73,109
rolldown/rolldown,https://github.com/rolldown/rolldown,667,69,12338,Rust,6930,5882,189,859,8,1,passed,145,auto,302,291,234,274,159,145
web-infra-dev/rsbuild,https://github.com/web-infra-dev/rsbuild,232,19,2997,TypeScript,5960,4972,130,858,7,1,passed,139,auto,177,202,151,139,148,162
gronxb/hot-updater,https://github.com/gronxb/hot-updater,98,11,1084,TypeScript,474,361,36,77,6,1,passed,21,auto,68,33,21,29,73,66
Azure/typespec-azure,https://github.com/Azure/typespec-azure,65,170,23,TypeScript,2345,1599,111,635,9,1,passed,47,auto,47,68,61,81,95,54
duyet/clickhouse-monitoring,https://github.com/duyet/clickhouse-monitoring,24,2,183,TypeScript,760,248,11,501,3,1,passed,11,auto,28,106,11,319,63,332
